,address,type,balance
0,1Co6UHJmGHevWEHAPraSPRVkfGgG46EHwe,pubkeyhash,5930000000000
1,1NnqM24fFeAGf7NWxmhhFkQAciPqeWo3L,pubkeyhash,5339055588667
2,13vJZKHKBirruXwmjMaRtakzPQRRHQit1S,pubkeyhash,5013004110000
3,1BBqjKsYuLEUE9Y5WzdbzCtYzCiQgHqtPN,pubkeyhash,4745804110000
4,1BVA88962SxcymHSfqXSy9F7cgXefi3zgt,pubkeyhash,4451204110000
5,1BqcwhKevdBKeos72b8E32Swjrp4iDVnjP,pubkeyhash,4000000000000
6,1AqSohDQw7UmW5EBmiS1qWEMu191UPCFVX,pubkeyhash,3549198272665
7,19Gt9VKmmyMpMHEv6dkf8ddwmwddoSoJ8w,pubkeyhash,3525450398730
8,1FrtkNXastDoMAaorowys27AKQERxgmZjY,pubkeyhash,3148014804788
9,14f6ZV83eke4DQsqTQsGaNrMNvHmwCm59t,pubkeyhash,3078426899989
10,1PxpUkkstoxwWe8cnYgG32tiMeLVJRQFUa,pubkeyhash,3041587899988
11,13TMHXjUMv7cjHdEioj9qsQ7XTsCxUHarD,pubkeyhash,3031587899987
12,1E675PVKbzUWAN6bGoMJ4c1TnD5BNkYbe3,pubkeyhash,3000000000000
13,139Vxkqcrs5fB9JvZcBzKuPwqsoVwisykJ,pubkeyhash,2859999380000
14,1Di6ux3CQBNXCZLD76BsnYWDo6XnFGzQah,pubkeyhash,2845305173206
15,1Kf33BbrJDuAVC91w9ACtRgf6KJrLWSkHV,pubkeyhash,2616704110000
16,1EP4rM8hLZCRSWPNZDWJp9zdvmoWYkkgbQ,pubkeyhash,2601241105039
17,1Hw8dtVC9bdxDz1su9Jx3GXTgjR75FJcMK,pubkeyhash,2600552943680
18,18JPragfuDVHWWG8ABQ15cghJFetnXUjBD,pubkeyhash,2440450460000
19,15iaA8tRFepu4KzXZYypFejsrfJQ9YT47B,pubkeyhash,2423210151781
20,1BADznNF3W1gi47R65MQs754KB7zTaGuYZ,pubkeyhash,2201304110000
21,1CbR8da9YPZqXJJKm9ze1GYf67eKAUfXwP,pubkeyhash,2000099392400
22,1MbM1WxEX3HZPpnoYVaBN2pd5WbDJoXrgj,pubkeyhash,2000000000000
23,13DRu4fXZ7gr8pykRVKwwStPUnUvfhMXJS,pubkeyhash,1974730546129
24,1dice7fUkz5h4z2wPc1wLMPWgB5mDwKDx,pubkeyhash,1886341452868
25,1Fx3N5iFPDQxUKhhmDJqCMmi3U8Y7gSncx,pubkeyhash,1720047089737
26,17sjYPaYJAvtwXM2q5ojzrCiYewnQMBi9y,pubkeyhash,1649073289239
27,1QAHVyRzkmD4j1pU5W89htZ3c6D6E7iWDs,pubkeyhash,1620500000000
28,1dice7W2AicHosf5EL3GFDUVga7TgtPFn,pubkeyhash,1595316005238
29,17FXxwQ7v35a3nZgKUw5MzoFdB75rxYDrs,pubkeyhash,1579993490000
30,1Mn9Zn1RbfJkEAcwLm4qm8QpawmWrq9Zbj,pubkeyhash,1522051187871
31,1LDWDufjU5ATbozDZY3uChb7oPAbDaiB7K,pubkeyhash,1500000000000
32,1CG6xGSAtwpKnjkMY3E6AcctVMvx7Z6xue,pubkeyhash,1498337765314
33,1NoDPxUcXwTzYaxNjPjdRKGDicMAcEMn1T,pubkeyhash,1497620023553
34,1EjRAEjDdA7GiCSUkA9nM4771n86N5t2xZ,pubkeyhash,1423741000000
35,1MZEa1Lx1XEEbgUXcoFfRpPagpcjjtYn5j,pubkeyhash,1400000000000
36,1E1fFRsVTdzUA5eC8ouwoFzygCF9WCPjBi,pubkeyhash,1400000000000
37,1BcCo1dNztEjMtzxFTbtQuZEuK1NkvN8q5,pubkeyhash,1375354000000
38,12tT4cSjRRsncwwv1YUKnbXuouaMfT5DnN,pubkeyhash,1350000000000
39,1AB2pgzv4yZQWp1ZS5Vb8sHWGHbuXwh2An,pubkeyhash,1280000790000
40,19tuxqhzgwC6B9hhLHDLJkocx8LaaCS56s,pubkeyhash,1208414000000
41,1FR8wjotgPmzTx7GmhW3WeXE39rHJbCvLV,pubkeyhash,1200500000000
42,14wGX3VV2foaDyuy6mc6tvynLAKnHswyoc,pubkeyhash,1185300000000
43,1n31g4rKiEeXnZEZR6VZwm3LggLicEqEC,pubkeyhash,1169853895259
44,1HHj36eihJPXasRhbyVisAvm4as36Jj2sJ,pubkeyhash,1163301463578
45,1GWexYYJtPbNRAKPndLwedtLK1yuDUjUeX,pubkeyhash,1135000000000
46,1D6i4FY4iJ3M54QJ8XyUn3LcWsWR84V8gU,pubkeyhash,1110290000000
47,1NuDiVDgBx2rx3gwoRJRERkPkSLNksubMK,pubkeyhash,1073711638034
48,1aXSyAGJVBki1hHHjm7TfDYNJmqjkckcA,pubkeyhash,1050000000000
49,1znAP17iQ8FZaWRH2RB1ktsYASokLDnD8,pubkeyhash,1043694360290
50,1AhDocNNTNWFg5oiMtkeu5wUzFu5mrXfN4,pubkeyhash,1042475850000
51,1MHjZDJ6yGwAPAFoT76W3jkunxCagqFrog,pubkeyhash,1040000000000
52,1SKLADuZdfR722o2CBFDps5Dj77XxPuVe,pubkeyhash,1000101010101
53,1FQXnW8jDrFSWNvh7HtaEkMyehSfk9PWgN,pubkeyhash,1000000000000
54,18Y8RM9TxunRLmw5MMD4mzY8Q9cYdPivm6,pubkeyhash,1000000000000
55,1DZ6afvs6W2su55sZpGUHXzrzh6UyE7bmZ,pubkeyhash,992481999112
56,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,pubkeyhash,989110110000
57,18uGVZ1FL967Zx6s9seTKJCo4eH9LxK4U9,pubkeyhash,976583670000
58,1AKU6fsr5amt3XAvxaYoCPDe8vkhrfk4WU,pubkeyhash,972330400000
59,1oJDbn2aFTv3mvQ9Z1zy6m2ZxZbwXoc7H,pubkeyhash,965977000000
60,1dice7EYzJag7SxkdKXLr8Jn14WUb3Cf1,pubkeyhash,956354488751
